iter	Passed	Remaining
473	644498	715203
474	646276	714305
475	647680	712993
476	649440	712070
477	650834	710744
478	653030	710290
479	655140	709735
480	656283	708131
481	657652	706772
482	659065	705458
483	660400	704063
484	661840	702779
485	663433	701656
486	664750	700239
487	666280	699048
488	667500	697531
489	668945	696249
490	670269	694841
491	671514	693352
492	672799	691905
493	674111	690487
494	675712	689362
495	676978	687897
496	678475	686665
497	679779	685239
498	681019	683749
499	682318	682318
500	683586	680857
501	685131	679671
502	686300	678113
503	687786	676869
504	689430	675778
505	690481	674106
506	691840	672736
507	693533	671689
508	694836	670264
509	696081	668783
510	697304	667283
511	698901	666140
512	700034	664554
513	701504	663290
514	702657	661726
515	703898	660246
516	705241	658861
517	706514	657413
518	707687	655872
519	709015	654476
520	710274	653015
521	712208	652175
522	713458	650706
523	714795	649318
524	716224	648012
525	717599	646657
526	719117	645432
527	720350	643950
528	721691	642564
529	723240	641364
530	724545	639947
531	726368	638985
532	727514	637427
533	728826	636017
534	730635	635038
535	731755	633459
536	733057	632040
537	734375	630634
538	735598	629148
539	736895	627725
540	738411	626489
541	739690	625051
542	741057	623689
543	742363	622274
544	743848	621011
545	744951	619428
546	746090	617877
547	747296	616383
548	748454	614850
549	749592	613303
550	751090	612049
551	752259	610529
552	753473	609046
553	754627	607515
554	755798	606000
555	757014	604522
556	758274	603080
557	759396	601528
558	760564	600016
559	761708	598485
560	762855	596957
561	764184	595574
562	765389	594094
563	766548	592579
564	767742	591093
565	768864	589553
566	770014	588035
567	771205	586551
568	772734	585322
569	774026	583914
570	775588	582710
571	776751	581205
572	778050	579803
573	779459	578484
574	780767	577089
575	782234	575811
576	783406	574317
577	784626	572858
578	785884	571428
579	787165	570016
580	788320	568513
581	789513	567039
582	790681	565547
583	791999	564164
584	793166	562673
585	794286	561151
586	795471	559675
587	796614	558172
588	797811	556707
589	798942	555197
590	800226	553794
591	801376	552300
592	802852	551029
593	803981	549522
594	805137	548034
595	806348	546585
596	807777	545283
597	808955	543812
598	810203	542389
599	811424	540949
600	812741	539573
601	814067	538204
602	815300	536773
603	816522	535335
604	817679	533857
605	818811	532362
606	819914	530850
607	821062	529369
608	822175	527866
609	823296	526369
610	824410	524870
611	825745	523511
612	826869	522020
613	828032	520554
614	829154	519064
615	830286	517580
616	831443	516114
617	832615	514659
618	833733	513170
619	834937	511736
620	836490	510515
621	837675	509069
622	838855	507621
623	840031	506173
624	841170	504702
625	842431	503305
626	843747	501942
627	845048	500570
628	846357	499203
629	847574	497782
630	848853	496397
631	850210	495058
632	851944	493939
633	853152	492514
634	854584	491217
635	855909	489860
636	857080	488414
637	858333	487016
638	859705	485686
639	861069	484351
640	862673	483150
641	863835	481702
642	865122	480324
643	866442	478965
644	867773	477611
645	869035	476220
646	870372	474871
647	871518	473417
648	872728	471999
649	873902	470562
650	875067	469122
651	876329	467733
652	877587	466344
653	878863	464964
654	880404	463724
655	881743	462377
656	882984	460979
657	884295	459618
658	885600	458254
659	886891	456883
660	888262	455553
661	889537	454174
662	890872	452826
663	892189	451469
664	893873	450297
665	895102	448895
666	896599	447627
667	897928	446276
668	899120	444856
669	900365	443463
670	901596	442064
671	902849	440676
672	904082	439279
673	905317	437883
674	906569	436496
675	907710	435056
676	909226	433796
677	910869	432595
678	912087	431193
679	913466	429866
680	914908	428569
681	916361	427276
682	917554	425863
683	918764	424458
684	920014	423072
685	921239	421675
686	922698	420385
687	923941	418996
688	925155	417595
689	926392	416205
690	927670	414833
691	928965	413470
692	930206	412082
693	931579	410754
694	932951	409424
695	934295	408083
696	935565	406709
697	936777	405310
698	937934	403888
699	939089	402466
700	940269	401056
701	941642	399728
702	942791	398306
703	943969	396896
704	945143	395485
705	946459	394134
706	947653	392733
707	949142	391454
708	950311	390043
709	952022	388854
710	953152	387427
711	954433	386063
712	955803	384734
713	957184	383410
714	958544	382077
715	959901	380742
716	961539	379519
717	962668	378095
718	963959	376735
719	965234	375369
720	966868	374141
721	968252	372817
722	969608	371482
723	970854	370104
724	972334	368816
725	973635	367460
726	975196	366201
727	976371	364798
728	977564	363401
729	978946	362076
730	980150	360684
731	981414	359315
732	982692	357952
733	984050	356617
734	985667	355376
735	987015	354038
736	988724	352828
737	989790	351388
738	991074	350027
739	992278	348638
740	993536	347268
741	994821	345908
742	996067	344534
743	997261	343143
744	998527	341777
745	999788	340410
746	1001053	339044
747	1002357	337692
748	1003557	336305
749	1004775	334925
750	1006059	333567
751	1007361	332214
752	1008587	330838
753	1009824	329465
754	1011018	328078
755	1012319	326727
756	1013548	325352
757	1014762	323974
758	1015960	322590
759	1017129	321198
760	1018360	319826
761	1019563	318446
762	1020760	317064
763	1021929	315674
764	1023124	314293
765	1024295	312904
766	1025566	311547
767	1026756	310165
768	1027988	308797
769	1029418	307488
770	1030630	306114
771	1031898	304757
772	1033114	303385
773	1034313	302008
774	1035555	300645
775	1036822	299288
776	1037993	297905
777	1039180	296527
778	1040487	295183
779	1041689	293809
780	1042912	292442
781	1044310	291124
782	1045573	289769
783	1046864	288421
784	1048129	287067
785	1049942	285862
786	1051784	284663
787	1054050	283577
788	1055213	282192
789	1056575	280861
790	1059009	279814
791	1061273	278718
792	1062761	277416
793	1064760	276247
794	1065844	274840
795	1067216	273507
796	1068825	272235
797	1070044	270863
798	1071374	269519
799	1072679	268169
800	1074052	266837
801	1075348	265485
802	1076641	264132
803	1077965	262787
804	1079223	261426
805	1080612	260097
806	1082157	258806
807	1083349	257429
808	1084687	256088
809	1085846	254704
810	1087015	253324
811	1088236	251956
812	1089485	250594
813	1090670	249219
814	1091951	247866
815	1093560	246587
816	1094745	245212
817	1095995	243852
818	1097257	242495
819	1098512	241136
820	1099787	239783
821	1101023	238421
822	1102426	237095
823	1104055	235817
824	1105174	234430
825	1106890	233170
826	1108166	231817
827	1109642	230505
828	1110871	229142
829	1112245	227809
830	1113708	226494
831	1115295	225203
832	1117153	223967
833	1118255	222578
834	1119496	221217
835	1121053	219919
836	1122548	218608
837	1124025	217293
838	1125202	215920
839	1126379	214548
840	1127565	213178
841	1129096	211873
842	1130424	210529
843	1131798	209195
844	1132893	207808
845	1134289	206478
846	1135806	205169
847	1137747	203935
848	1138979	202574
849	1140431	201252
850	1141722	199901
851	1142988	198547
852	1144256	197193
853	1145663	195862
854	1147077	194533
855	1148491	193204
856	1149670	191835
857	1150869	190470
858	1152223	189130
859	1153520	187782
860	1154876	186443
861	1156556	185156
862	1157617	183770
863	1158815	182406
864	1160019	181043
865	1161328	179697
866	1162817	178379
867	1164177	177040
868	1165874	175753
869	1166957	174372
870	1168143	173008
871	1169378	171651
872	1170643	170299
873	1171842	168938
874	1173034	167576
875	1174319	166227
876	1175594	164878
877	1176799	163518
878	1177981	162156
879	1179140	160791
880	1180381	159438
881	1181600	158082
882	1182842	156729
883	1184237	155397
884	1185453	154041
885	1186748	152696
886	1188037	151350
887	1189231	149993
888	1190491	148644
889	1192061	147333
890	1194090	146078
891	1195114	144700
892	1196373	143350
893	1197594	141996
894	1198875	140650
895	1200289	139319
896	1201900	138010
897	1203013	136645
898	1204220	135290
899	1205406	133934
900	1206692	132588
901	1207932	131238
902	1209461	129920
903	1210827	128583
904	1212144	127241
905	1213249	125878
906	1214523	124532
907	1215775	123184
908	1217335	121867
909	1218486	120509
910	1220177	119205
911	1221358	117850
912	1222899	116530
913	1224302	115196
914	1225722	113864
915	1226833	112504
916	1228023	111151
917	1229224	109800
918	1230396	108446
919	1231589	107094
920	1232968	105759
921	1234282	104418
922	1235618	103079
923	1236969	101742
924	1238204	100394
925	1240041	99096
926	1241447	97762
927	1242750	96420
928	1243914	95067
929	1245091	93716
930	1246311	92368
931	1247483	91018
932	1248663	89668
933	1249840	88318
934	1251019	86969
935	1252592	85647
936	1253691	84293
937	1255213	82967
938	1256389	81618
939	1257723	80280
940	1258966	78936
941	1260701	77622
942	1261776	76268
943	1263376	74946
944	1264537	73597
945	1265798	72254
946	1266997	70909
947	1268314	69569
948	1269543	68226
949	1270736	66880
950	1271952	65537
951	1273192	64194
952	1274408	62851
953	1275642	61508
954	1276946	60170
955	1278864	58859
956	1280026	57514
957	1281222	56170
958	1282458	54828
959	1283974	53498
960	1285283	52160
961	1286961	50836
962	1288140	49492
963	1289384	48151
964	1290577	46808
965	1291743	45465
966	1292976	44124
967	1294300	42786
968	1295501	41445
969	1297023	40114
970	1298169	38771
971	1299374	37430
972	1300617	36091
973	1301806	34750
974	1302983	33409
975	1304168	32069
976	1305457	30732
977	1306662	29393
978	1307858	28054
979	1309135	26717
980	1310409	25380
981	1311636	24042
982	1312829	22704
983	1314019	21366
984	1315220	20028
985	1316390	18691
986	1317599	17354
987	1318760	16017
988	1319942	14680
989	1321125	13344
990	1322340	12009
991	1323528	10673
992	1324708	9338
993	1325931	8003
994	1327113	6668
995	1328314	5334
996	1329579	4000
997	1330748	2666
998	1331963	1333
999	1333193	0
